idna_subject,checker_type,destination,tested_at
z-p3-any-graph.facebook.com,AVAILABILITY,origin.list,2022-04-07 06:14:40.979621
z-m-external.fopo1-1.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:14:42.149642
z-p42-instagram.fbsr2-1.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:14:44.115171
z-p42-instagram.flhe2-1.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:14:44.590745
kuki.wacproxy.xwf.internet.org,AVAILABILITY,origin.list,2022-04-07 06:14:46.754811
z-p4-any-graph.facebook.com,AVAILABILITY,origin.list,2022-04-07 06:14:48.593514
z-p3-external.faly3-2.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:14:50.113028
z-m-any-api.facebook.com,AVAILABILITY,origin.list,2022-04-07 06:14:50.746378
z-p3-scontent.fmga1-1.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:14:55.496581
z-p42-instagram.fada1-10.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:14:55.763462
z-p42-instagram.fada1-1.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:14:56.464489
edge-z-m-mini-shv-01-fco1.facebook.com,AVAILABILITY,origin.list,2022-04-07 06:14:59.534766
z-p3-external.fmle2-1.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:00.571845
z-p3-scontent.fmct3-2.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:07.030801
edge-z-p4-shv-01-fco1.facebook.com,AVAILABILITY,origin.list,2022-04-07 06:15:07.728443
z-p3-video.fccs1-1.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:10.509327
z-p42-instagram.fbtz1-9.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:10.558528
z-p3-scontent.fmct2-2.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:13.839698
fbtokenizerdogfood.in.xwf.internet.org,AVAILABILITY,origin.list,2022-04-07 06:15:14.794647
iconnectwe.in.xwf.internet.org,AVAILABILITY,origin.list,2022-04-07 06:15:18.099819
z-m-scontent-lht.xx.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:22.161283
z-m-static-lht.xx.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:23.137243
netvision.in.xwf.internet.org,AVAILABILITY,origin.list,2022-04-07 06:15:23.328136
z-p42-instagram.fsaw1-3.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:25.721621
z-p3-scontent.frec11-1.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:30.504533
z-p3-scontent.fcgk6-1.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:31.121286
z-m-video-lht.xx.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:33.925161
z-p3-external-hkg3-1.xx.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:34.908330
z-p3-external-cai1-1.xx.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:35.464474
z-1-external-ort2-2.xx.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:36.498602
z-p3-video.fctg1-2.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:36.781951
nz-m-scontent-tpe.xx.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:44.100913
nz-m-scontent-mad.xx.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:44.531997
nz-m-scontent-amt.xx.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:44.759619
nz-m-scontent-eze.xx.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:48.219227
nz-m-video-eze.xx.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:48.607500
nz-m-scontent-lhr.xx.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:51.143169
nz-m-video-bru.xx.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:52.365027
nz-m-video-lax.xx.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:54.645688
z-p3-scontent.fgye5-1.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:55.697813
z-m-scontent.fbog2-2.fna.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:58.887524
nz-m-video-atl.xx.fbcdn.net,AVAILABILITY,origin.list,2022-04-07 06:15:59.103447
