idna_subject,checker_type,destination,source,tested_at,session_id
nwahyu.tamvan.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:18.897483,bf851780722d84b9b8883d75
nwap.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:18.911546,bf851780722d84b9b8883d75
nwateen.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:18.925593,bf851780722d84b9b8883d75
nwebopedia.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:18.939630,bf851780722d84b9b8883d75
nwebpass.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:18.953683,bf851780722d84b9b8883d75
nzain.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:18.967714,bf851780722d84b9b8883d75
nzero.facebook.com.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:18.981916,bf851780722d84b9b8883d75
nzero.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:18.996166,bf851780722d84b9b8883d75
o.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.010327,bf851780722d84b9b8883d75
ogin.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.024638,bf851780722d84b9b8883d75
on.the.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.038850,bf851780722d84b9b8883d75
oonvare.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.053132,bf851780722d84b9b8883d75
opx.cfc.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.067471,bf851780722d84b9b8883d75
owa.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.081780,bf851780722d84b9b8883d75
p.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.096278,bf851780722d84b9b8883d75
pew.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.110741,bf851780722d84b9b8883d75
picosoft.np.xwf.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.127291,bf851780722d84b9b8883d75
pop.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.141581,bf851780722d84b9b8883d75
pop3.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.155981,bf851780722d84b9b8883d75
porn.in.the.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.170350,bf851780722d84b9b8883d75
postmaster.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.184694,bf851780722d84b9b8883d75
press.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.199162,bf851780722d84b9b8883d75
pt-br.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.213690,bf851780722d84b9b8883d75
radiomaria.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.228109,bf851780722d84b9b8883d75
read-worldreader-org.0.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.242629,bf851780722d84b9b8883d75
remote.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.257188,bf851780722d84b9b8883d75
robi.bd.xwf.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.271664,bf851780722d84b9b8883d75
s.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.286180,bf851780722d84b9b8883d75
safaricom.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.300743,bf851780722d84b9b8883d75
sb.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.315377,bf851780722d84b9b8883d75
server-80.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.329979,bf851780722d84b9b8883d75
server4.operamini.com.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.344628,bf851780722d84b9b8883d75
shaildharqa.in.xwf.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.359285,bf851780722d84b9b8883d75
shop.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.373956,bf851780722d84b9b8883d75
smart.portals.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.388611,bf851780722d84b9b8883d75
smsproxy.xwf.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.404182,bf851780722d84b9b8883d75
smtp.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.420232,bf851780722d84b9b8883d75
sshdb.us.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.436190,bf851780722d84b9b8883d75
stage.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.451879,bf851780722d84b9b8883d75
staging.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.467894,bf851780722d84b9b8883d75
standalone.ccpl.xwf.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.482917,bf851780722d84b9b8883d75
store.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.500262,bf851780722d84b9b8883d75
sulaiman.unlimited.sshdb.us.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.515079,bf851780722d84b9b8883d75
sun-0.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.529999,bf851780722d84b9b8883d75
support.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.544795,bf851780722d84b9b8883d75
sutinta19.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.559663,bf851780722d84b9b8883d75
sv-se.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.574531,bf851780722d84b9b8883d75
telkomsel.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.589458,bf851780722d84b9b8883d75
telstra.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.604374,bf851780722d84b9b8883d75
telstra.iph.internet.org,AVAILABILITY,origin.list,origin.list,2001-05-30 17:16:19.619265,bf851780722d84b9b8883d75
